Protocol,Destination,No.
HTTP,192.168.0.1,1
HTTP,192.168.0.12,1
HTTP/XML,192.168.0.1,40
HTTP/XML,192.168.0.12,40
SSDP,239.255.255.250,16
TCP,192.168.0.1,204
TCP,192.168.0.12,142
TCP,37.9.96.12,2
TCP,37.9.96.13,3
TCP,37.9.96.14,5
TCP,37.9.96.15,2
TCP,37.9.96.21,2
TCP,5.45.205.244,4
TLSv1.2,192.168.0.12,12
TLSv1.2,37.9.96.12,1
TLSv1.2,37.9.96.13,3
TLSv1.2,37.9.96.14,4
TLSv1.2,37.9.96.15,1
TLSv1.2,37.9.96.21,1
TLSv1.2,5.45.205.244,3
UDP,107.184.247.254,1
UDP,120.29.70.131,1
UDP,192.168.0.12,1
